customer_id,name,age,gender,city,region,income_bracket,segment,shopping_frequency,preferred_channel,preferred_category,loyalty_tier,registration_date,is_active,email,phone,app_installed,email_opt_in,sms_opt_in
C00037,Kamya Bhagat,37,Male,Ludhiana,North,5-10L,Working Professional,8.1,WhatsApp,Tops,Silver,2020-05-06,True,borahvansha@example.net,+910252131096,True,True,True
C00038,Qabil Singhal,30,Female,Chandigarh,North,<2L,Impulse Buyer,11.0,Email,Outerwear,Bronze,2019-07-07,True,chandanisinghal@example.com,5704120092,True,True,False
C00039,Advay Randhawa,57,Male,Jaipur,North,5-10L,Frequent Buyer,15.4,SMS,Accessories,Bronze,2018-10-26,True,jsha@example.net,09843624186,True,False,True
C00040,Siddharth Rattan,46,Female,Bhopal,Central,>50L,Luxury Shopper,3.6,SMS,Outerwear,Bronze,2019-05-27,True,kandamanya@example.org,8917756620,True,True,False
C00041,Panini Hayer,56,Other,Pune,West,20-50L,Frequent Buyer,13.8,SMS,Outerwear,Bronze,2020-10-02,True,ikbal11@example.com,5034281139,True,False,False
C00042,Dayamai Guha,37,Female,Vadodara,West,<2L,Budget Shopper,3.9,SMS,Accessories,Bronze,2019-02-17,True,bachittarkhosla@example.com,+919909700514,False,False,True
C00043,Ishanvi Mandal,26,Female,Bhopal,Central,10-20L,Impulse Buyer,4.3,Push Notification,Outerwear,Bronze,2021-01-30,True,mtella@example.com,05215681820,False,False,False
C00044,Vansha Barad,29,Male,Mumbai,West,<2L,Brand Loyalist,11.6,Push Notification,Bottoms,Silver,2020-03-24,True,neel27@example.org,1332288985,False,False,False
C00045,Karan Nori,23,Female,Pune,West,>50L,Frequent Buyer,17.9,In-App,Activewear,Gold,2020-02-29,True,jagvi96@example.org,6339912971,True,True,True
C00046,Luke More,19,Male,Bhopal,Central,<2L,Student,2.6,SMS,Tops,Gold,2018-02-09,True,taragirindra@example.com,02421495511,False,True,True
C00047,Triveni Kuruvilla,20,Male,Agra,North,<2L,Student,8.8,SMS,Tops,Bronze,2019-07-18,True,wkunda@example.com,2197054669,True,True,False
C00048,Ridhi Peri,61,Male,Ludhiana,North,>50L,Frequent Buyer,19.0,Push Notification,Dresses,Bronze,2018-03-05,True,kashvi16@example.net,04090380214,False,True,True
C00049,Nathan Rastogi,29,Male,Kochi,South,5-10L,Working Professional,6.3,Push Notification,Outerwear,Bronze,2018-10-22,False,kapoorlipika@example.com,1577871121,True,False,False
C00050,Rachita Iyengar,39,Male,Bengaluru,South,20-50L,Luxury Shopper,2.4,In-App,Dresses,Bronze,2023-10-11,True,enarasimhan@example.com,09737147082,False,True,False
C00051,Madhav Kala,60,Female,Pune,West,2-5L,Budget Shopper,2.1,In-App,Outerwear,Bronze,2018-03-20,True,azad96@example.org,06730306442,True,True,False
C00052,Lucky Biswas,37,Male,Kolkata,East,2-5L,Family Shopper,4.3,SMS,Tops,Bronze,2018-10-10,True,nidhi14@example.net,06834201654,True,True,True
C00053,Rushil Palla,23,Female,Jaipur,North,<2L,Student,5.7,Email,Footwear,Gold,2020-01-10,True,esubramaniam@example.net,2659608931,True,True,False
C00054,Ekiya Nadig,59,Female,Hyderabad,South,<2L,Budget Shopper,3.8,WhatsApp,Ethnic Wear,Bronze,2018-09-11,True,doratara@example.org,05164807279,False,True,False
C00055,Balhaar Kamdar,25,Male,Ahmedabad,West,<2L,Student,2.6,In-App,Dresses,Silver,2018-11-14,True,oshaganesan@example.net,03533905504,True,True,True
C00056,Yadavi Dash,24,Male,Lucknow,North,<2L,Brand Loyalist,8.1,Push Notification,Accessories,Silver,2023-11-10,True,ashah@example.com,05868512765,False,False,False
C00057,Nicholas Sarin,29,Male,Indore,Central,5-10L,Working Professional,9.9,WhatsApp,Dresses,Platinum,2021-03-02,False,qmane@example.net,6491111096,False,True,False
C00058,Watika Chaudhry,47,Male,Jaipur,North,5-10L,Family Shopper,9.5,WhatsApp,Bottoms,Bronze,2022-04-16,True,lthakur@example.org,4633786137,True,True,False
C00059,Indali Shetty,26,Male,Jaipur,North,5-10L,Brand Loyalist,6.3,In-App,Activewear,Bronze,2018-01-07,True,arandhawa@example.com,+918444463060,True,True,True
C00060,Atharv Dube,47,Male,Nagpur,Central,>50L,Impulse Buyer,6.1,WhatsApp,Outerwear,Bronze,2021-06-07,True,zilmil95@example.com,+919638639609,False,True,True
C00061,Kabir Ramakrishnan,20,Male,Nagpur,Central,10-20L,Impulse Buyer,6.9,SMS,Ethnic Wear,Gold,2018-10-17,True,nehanadkarni@example.net,+916312819648,False,True,True
C00062,Ekantika Jani,48,Male,Vadodara,West,20-50L,Frequent Buyer,16.0,In-App,Accessories,Silver,2022-03-27,True,chanderatharv@example.com,+919209819602,True,True,True
C00063,Ishita Grover,36,Male,Bhopal,Central,2-5L,Frequent Buyer,12.1,In-App,Accessories,Bronze,2022-04-02,True,tristanmishra@example.org,3640412091,True,True,True
C00064,Tripti Das,49,Male,Vadodara,West,20-50L,Brand Loyalist,9.2,SMS,Footwear,Silver,2020-04-22,True,dharbarkha@example.com,+911175361706,True,True,True
C00065,Vidhi Bose,29,Female,Delhi,North,5-10L,Working Professional,3.6,SMS,Bottoms,Silver,2018-02-02,True,oniprashad@example.com,7224029901,True,False,False
C00066,Idika Sule,45,Male,Jaipur,North,10-20L,Brand Loyalist,7.6,Push Notification,Tops,Bronze,2023-11-06,True,duttaachal@example.org,+919080882351,False,True,True
C00067,Ayushman Narang,33,Male,Bhopal,Central,20-50L,Luxury Shopper,1.6,Email,Outerwear,Silver,2018-08-15,False,thomaschacko@example.net,2447315847,True,False,False
C00068,Rajata Vala,44,Female,Kolkata,East,>50L,Impulse Buyer,9.8,WhatsApp,Activewear,Bronze,2022-11-18,True,qhans@example.org,+914619942376,True,True,True
C00069,Pallavi Magar,61,Female,Kochi,South,>50L,Impulse Buyer,3.2,Email,Ethnic Wear,Gold,2020-11-29,True,hritik96@example.com,+919551720849,True,True,True
C00070,Chaaya Wali,60,Male,Agra,North,2-5L,Budget Shopper,3.7,In-App,Dresses,Silver,2023-11-16,True,mitali01@example.org,06253135525,False,True,True
C00071,Aditya Nagar,31,Female,Delhi,North,10-20L,Seasonal Buyer,1.8,In-App,Tops,Silver,2020-02-25,True,narasimhantanay@example.com,5381649383,True,True,True
C00072,Arunima Borde,34,Female,Vadodara,West,>50L,Frequent Buyer,18.0,Push Notification,Accessories,Gold,2021-04-19,True,usaran@example.com,+913077046117,False,False,False
C00073,Eta Rajagopal,32,Male,Vadodara,West,20-50L,Luxury Shopper,1.9,Email,Outerwear,Bronze,2020-09-29,True,anshmane@example.org,9074260880,True,False,False
C00074,Amol Boase,25,Female,Chandigarh,North,<2L,Student,7.3,In-App,Footwear,Bronze,2019-01-17,True,zchandran@example.com,4455618579,False,True,False
C00075,Maya Misra,38,Female,Bhopal,Central,<2L,Budget Shopper,2.0,Push Notification,Activewear,Silver,2022-12-17,True,ptak@example.org,09103002156,True,True,False
C00076,Onkar Chakrabarti,54,Female,Nagpur,Central,2-5L,Frequent Buyer,14.8,Email,Activewear,Bronze,2022-10-25,True,jyotiyogi@example.org,0401041459,True,True,False
C00077,Anamika Garde,22,Male,Nagpur,Central,2-5L,Brand Loyalist,2.9,In-App,Ethnic Wear,Platinum,2018-03-28,True,trivenidar@example.org,02967188397,True,True,True
C00078,Avni Nagy,39,Male,Ahmedabad,West,5-10L,Working Professional,9.4,WhatsApp,Ethnic Wear,Gold,2023-02-27,True,fkara@example.com,01583311703,True,True,False
C00079,Tarak Sidhu,63,Female,Surat,West,<2L,Budget Shopper,4.8,In-App,Outerwear,Gold,2019-04-28,True,fguha@example.org,03988547281,True,False,True
C00080,Theodore Patla,45,Male,Delhi,North,<2L,Budget Shopper,3.4,WhatsApp,Activewear,Silver,2018-10-05,True,nsethi@example.net,+916314624912,True,True,True
C00081,Hredhaan Choudhary,34,Male,Bengaluru,South,2-5L,Budget Shopper,2.9,In-App,Ethnic Wear,Bronze,2018-10-29,True,amolsharma@example.org,00787541815,False,True,True
C00082,Simon Dora,49,Male,Jaipur,North,>50L,Brand Loyalist,5.6,In-App,Activewear,Silver,2019-01-06,False,bthakkar@example.net,00745106634,True,False,False
C00083,Neha Goda,40,Female,Kochi,South,<2L,Family Shopper,10.2,Push Notification,Footwear,Bronze,2018-09-12,True,wakeeta86@example.org,0313100943,True,True,False
C00084,Harrison Majumdar,19,Female,Chennai,South,<2L,Student,11.0,In-App,Innerwear,Gold,2019-11-23,True,nidhiramanathan@example.com,+913473235494,True,False,False
C00085,Girindra Goyal,22,Male,Vadodara,West,<2L,Student,3.6,In-App,Ethnic Wear,Silver,2021-05-12,False,smody@example.org,+915122572076,False,True,True
C00086,Ansh Goel,33,Female,Bhopal,Central,20-50L,Brand Loyalist,8.2,WhatsApp,Tops,Silver,2018-03-26,True,faraj20@example.net,07907371009,True,False,True
C00087,Vedant Vohra,32,Other,Kochi,South,<2L,Brand Loyalist,2.0,Email,Footwear,Silver,2019-04-06,True,mananchandra@example.org,05775847457,True,True,True
C00088,Ira Mitra,44,Female,Bengaluru,South,2-5L,Budget Shopper,5.3,In-App,Outerwear,Bronze,2021-10-11,True,zarna97@example.org,08026325703,True,True,True
C00089,Jagvi Jhaveri,50,Female,Kolkata,East,<2L,Budget Shopper,3.6,In-App,Footwear,Gold,2021-08-26,True,harikrishna@example.net,+914878245569,False,False,True
C00090,Anya More,28,Female,Patna,East,10-20L,Working Professional,9.9,SMS,Tops,Bronze,2022-05-03,True,benjaminvenkatesh@example.net,09167954107,True,True,False
C00091,Unnati Doctor,40,Male,Hyderabad,South,>50L,Frequent Buyer,14.2,In-App,Ethnic Wear,Gold,2018-04-28,True,nicholas47@example.com,+914070349107,True,True,True
C00092,Abdul Sani,40,Female,Chandigarh,North,>50L,Luxury Shopper,3.9,SMS,Footwear,Gold,2022-06-07,True,aadi04@example.org,04882142369,True,False,True
C00093,Bina Kanda,61,Female,Ludhiana,North,2-5L,Budget Shopper,4.8,In-App,Tops,Silver,2023-08-10,True,solankiisha@example.org,6661449429,True,True,False
C00094,Ekantika Dewan,22,Female,Patna,East,<2L,Student,7.5,Push Notification,Outerwear,Gold,2022-04-24,True,zashildeshmukh@example.com,3441497826,True,True,False
C00095,Gopal Devi,27,Male,Chennai,South,20-50L,Impulse Buyer,9.9,Email,Bottoms,Platinum,2023-09-17,True,gmunshi@example.net,5756766708,True,True,False
C00096,Oviya Chakrabarti,23,Female,Kochi,South,<2L,Student,11.5,SMS,Tops,Bronze,2023-11-17,True,chasmumkibe@example.net,5298940626,False,True,True
C00097,Turvi Vasa,39,Female,Surat,West,10-20L,Working Professional,5.3,Email,Ethnic Wear,Bronze,2022-02-25,True,fbhagat@example.org,01591497501,False,True,False
C00098,Samarth Varty,32,Female,Pune,West,10-20L,Impulse Buyer,6.2,In-App,Innerwear,Bronze,2023-05-25,True,warhideshpande@example.org,2440793110,True,True,True
C00099,Jai Venkatesh,37,Male,Ahmedabad,West,5-10L,Fashion Enthusiast,11.0,Push Notification,Dresses,Bronze,2020-04-15,True,kotasamarth@example.org,00876014672,False,True,True
C00100,Abha Sarna,34,Female,Delhi,North,<2L,Budget Shopper,4.0,Push Notification,Outerwear,Bronze,2023-10-19,True,sankaranmadhav@example.net,+912232883774,False,True,True
C00101,Harish Tailor,20,Male,Surat,West,<2L,Student,8.9,In-App,Footwear,Silver,2019-10-10,True,anvi66@example.net,+917662047196,False,True,False
C00102,Chavvi Bandi,34,Male,Bhopal,Central,<2L,Budget Shopper,2.4,Push Notification,Dresses,Silver,2022-08-05,True,wbasak@example.org,07402588358,False,True,False
C00103,Yochana Bhatnagar,38,Male,Indore,Central,20-50L,Family Shopper,8.6,In-App,Innerwear,Bronze,2021-04-03,True,maxpandey@example.net,9572446176,True,True,True
C00104,Pranit Tripathi,39,Male,Bengaluru,South,2-5L,Budget Shopper,2.6,Email,Tops,Bronze,2023-07-01,True,kai59@example.net,09961002311,True,True,False
C00105,Vamakshi Naik,39,Male,Patna,East,<2L,Family Shopper,6.9,Email,Ethnic Wear,Silver,2020-05-12,True,warjascheema@example.org,6610941017,False,True,True
C00106,Ayushman Ghosh,29,Female,Delhi,North,5-10L,Fashion Enthusiast,2.9,SMS,Dresses,Bronze,2021-04-25,True,hritik76@example.org,9833477433,False,True,True
C00107,Radha Wadhwa,20,Female,Nagpur,Central,20-50L,Frequent Buyer,11.0,Push Notification,Innerwear,Bronze,2021-12-12,True,gabrielbajwa@example.net,1302056981,True,True,True
C00108,Qasim Wable,18,Male,Kolkata,East,2-5L,Budget Shopper,2.8,SMS,Innerwear,Bronze,2019-04-29,True,ngupta@example.net,08559821766,True,False,False
C00109,Farhan Datta,45,Female,Indore,Central,20-50L,Family Shopper,6.3,Email,Dresses,Silver,2023-12-19,True,harrison17@example.org,+919850344651,True,True,False
C00110,Bhavna Borde,39,Male,Pune,West,>50L,Impulse Buyer,5.4,Push Notification,Outerwear,Gold,2021-04-28,True,zarnatella@example.com,09081974005,True,True,True
C00111,Advika Iyer,50,Male,Bhopal,Central,20-50L,Family Shopper,3.5,Email,Ethnic Wear,Bronze,2018-10-16,True,daniel23@example.net,5037199051,True,True,True
C00112,Faris Srinivas,34,Female,Ahmedabad,West,>50L,Family Shopper,6.0,Email,Innerwear,Silver,2018-09-16,True,anikabarman@example.org,+917835674300,True,True,False
C00113,Rohan Warrior,58,Female,Kochi,South,<2L,Budget Shopper,4.0,WhatsApp,Dresses,Gold,2019-08-20,True,jbadami@example.com,+916626682171,True,True,False
C00114,Indira Hari,56,Male,Chennai,South,2-5L,Budget Shopper,4.3,In-App,Ethnic Wear,Gold,2023-03-12,True,rajeshri03@example.org,+919036890030,True,True,False
C00115,Dakshesh Date,19,Male,Nagpur,Central,5-10L,Fashion Enthusiast,8.1,SMS,Tops,Bronze,2021-11-27,True,sgole@example.org,05934296711,False,True,True
C00116,Zashil Jha,26,Male,Kochi,South,10-20L,Working Professional,7.1,SMS,Accessories,Silver,2018-06-25,True,oparikh@example.com,4584384588,False,True,False
C00117,Chatura Pal,42,Male,Delhi,North,<2L,Budget Shopper,5.0,Email,Innerwear,Bronze,2023-08-03,True,rsunder@example.org,+912834831520,True,True,True
C00118,Ria Setty,35,Female,Surat,West,2-5L,Fashion Enthusiast,9.9,WhatsApp,Footwear,Silver,2021-07-22,True,bailwishi@example.org,04964104967,True,False,False
C00119,Lavanya Rajagopalan,37,Male,Patna,East,5-10L,Working Professional,7.8,WhatsApp,Dresses,Silver,2023-05-11,True,obasu@example.org,02680408509,True,True,False
C00120,Adweta Kalita,42,Female,Bhopal,Central,<2L,Budget Shopper,4.9,In-App,Accessories,Bronze,2021-11-27,True,omradha@example.com,0186487699,False,True,False
C00121,Nicholas Raj,18,Female,Kolkata,East,10-20L,Fashion Enthusiast,7.5,Push Notification,Tops,Gold,2022-07-10,True,ikhanna@example.org,04138459609,False,True,False
C00122,Janaki Luthra,21,Female,Mumbai,West,<2L,Student,3.6,In-App,Activewear,Gold,2023-06-17,True,advik14@example.net,5427707070,True,True,False
C00123,Varsha Kamdar,35,Female,Chennai,South,<2L,Budget Shopper,5.8,WhatsApp,Dresses,Silver,2020-10-02,True,lbhardwaj@example.org,09851724447,True,True,True
C00124,Utkarsh Ghosh,64,Male,Kolkata,East,>50L,Fashion Enthusiast,4.3,WhatsApp,Accessories,Silver,2021-07-28,True,chandrankaul@example.org,0287950830,True,False,False
C00125,Aarini Babu,37,Female,Kochi,South,10-20L,Working Professional,10.4,WhatsApp,Accessories,Bronze,2018-04-24,False,chaitanya93@example.com,+911871813359,True,True,True
C00126,Ojasvi Bora,18,Female,Kochi,South,<2L,Student,6.8,Email,Bottoms,Silver,2022-07-26,True,jmandal@example.org,09556574902,True,True,False
C00127,Chaitanya Mannan,40,Male,Hyderabad,South,20-50L,Impulse Buyer,9.6,Push Notification,Innerwear,Gold,2023-03-10,True,atharvcherian@example.net,+915889536902,True,False,True
C00128,Farhan Brahmbhatt,63,Female,Surat,West,5-10L,Brand Loyalist,5.1,Email,Activewear,Gold,2019-12-28,True,yahvisahota@example.net,1809788754,True,True,False
C00129,Chaaya Kohli,54,Female,Mumbai,West,>50L,Frequent Buyer,10.1,Email,Innerwear,Bronze,2021-04-04,True,xavier53@example.com,01376515881,True,True,True
C00130,Veda Karpe,50,Female,Bhopal,Central,20-50L,Impulse Buyer,9.3,SMS,Dresses,Bronze,2022-10-15,True,osahota@example.net,+918369294455,True,True,True
C00131,Finn Rege,59,Male,Chandigarh,North,20-50L,Brand Loyalist,9.3,Push Notification,Footwear,Silver,2023-01-23,True,jtiwari@example.net,03270216487,False,True,False
C00132,Jonathan Bandi,31,Female,Chennai,South,10-20L,Working Professional,5.3,Email,Footwear,Bronze,2023-09-02,True,sbajwa@example.org,+912886652683,True,True,True
C00133,Jagat Nayar,55,Female,Indore,Central,20-50L,Brand Loyalist,11.4,SMS,Bottoms,Gold,2021-09-11,False,hritik01@example.net,07676472298,False,False,False
C00134,Max Amble,47,Female,Hyderabad,South,<2L,Budget Shopper,2.3,Email,Bottoms,Bronze,2023-04-21,True,sudiksha65@example.com,+918941347509,True,True,True
C00135,Bhavika Naidu,47,Male,Vadodara,West,2-5L,Budget Shopper,4.6,SMS,Activewear,Gold,2022-03-19,False,wnagar@example.org,+910368499515,True,True,True
C00136,Noah Dani,65,Male,Bengaluru,South,5-10L,Impulse Buyer,2.6,Email,Activewear,Silver,2022-08-25,True,anusha77@example.org,+914491342138,False,True,True
C00137,Ayaan Baral,20,Male,Hyderabad,South,5-10L,Impulse Buyer,9.1,WhatsApp,Footwear,Bronze,2020-12-25,True,abeersuresh@example.org,03496782741,True,True,True
C00138,Sai Sankaran,29,Female,Indore,Central,20-50L,Frequent Buyer,14.1,SMS,Outerwear,Bronze,2022-04-01,True,flall@example.org,01513152854,False,True,True
C00139,Yochana Borah,34,Male,Vadodara,West,20-50L,Frequent Buyer,12.3,SMS,Innerwear,Gold,2018-04-25,False,balvan61@example.net,5380032963,True,True,True
C00140,Alka Singhal,22,Male,Hyderabad,South,20-50L,Brand Loyalist,7.5,Push Notification,Accessories,Bronze,2019-04-07,True,vedhikagrover@example.net,04231830617,True,True,True
C00141,Pranav Barad,23,Female,Agra,North,>50L,Frequent Buyer,11.7,WhatsApp,Ethnic Wear,Bronze,2019-12-11,True,nlall@example.com,9357824347,True,True,False
C00142,Manya Parikh,32,Other,Hyderabad,South,10-20L,Working Professional,5.8,WhatsApp,Bottoms,Platinum,2023-10-27,True,gmerchant@example.org,+914675361275,True,True,True
C00143,Idika Rao,49,Male,Agra,North,20-50L,Frequent Buyer,19.9,WhatsApp,Innerwear,Platinum,2021-05-23,True,vedasuresh@example.net,03044836085,True,True,True
C00144,Eesha Sabharwal,22,Male,Surat,West,<2L,Budget Shopper,4.0,WhatsApp,Outerwear,Bronze,2020-05-03,False,bsathe@example.com,00473504763,True,False,False
C00145,Samuel Choudhary,33,Male,Ahmedabad,West,2-5L,Brand Loyalist,2.7,SMS,Outerwear,Bronze,2018-02-13,True,kai98@example.org,0615581083,True,True,True
C00146,Rushil Dugar,50,Male,Bhopal,Central,10-20L,Fashion Enthusiast,8.1,WhatsApp,Tops,Silver,2018-12-16,True,skarnik@example.org,05638300081,True,True,True
C00147,Vedhika Basak,27,Female,Agra,North,10-20L,Working Professional,7.6,SMS,Innerwear,Gold,2020-06-24,True,barkhamitra@example.org,+913041662411,True,True,False
C00148,Yamini Sagar,37,Female,Chandigarh,North,5-10L,Working Professional,2.6,Push Notification,Tops,Silver,2020-01-06,True,auroramax@example.org,9639456804,True,True,False
C00149,Tara Jain,38,Female,Indore,Central,>50L,Impulse Buyer,7.5,In-App,Accessories,Bronze,2020-03-01,True,lallaurishilla@example.com,06136847488,False,True,False
C00150,Lavanya Badal,32,Female,Chandigarh,North,10-20L,Impulse Buyer,8.1,WhatsApp,Dresses,Bronze,2018-09-13,True,xramesh@example.net,1739063757,True,False,True
C00151,Deepa Natarajan,18,Male,Mumbai,West,<2L,Student,2.8,Push Notification,Outerwear,Platinum,2019-03-24,True,fiyazchandran@example.net,+913793126978,False,False,True
C00152,Daniel Tak,28,Female,Pune,West,<2L,Budget Shopper,5.3,WhatsApp,Footwear,Platinum,2019-05-27,True,nisha45@example.org,+915996043878,False,False,True
C00153,Dhriti Keer,55,Male,Bhopal,Central,5-10L,Fashion Enthusiast,9.8,In-App,Activewear,Bronze,2018-03-20,False,triya78@example.net,1161620281,False,True,True
C00154,Rudra Sarma,51,Male,Bengaluru,South,2-5L,Budget Shopper,4.5,Push Notification,Accessories,Bronze,2023-02-08,True,baradpanini@example.com,+918728660416,False,True,True
C00155,Anika Virk,47,Female,Patna,East,>50L,Luxury Shopper,3.4,Push Notification,Bottoms,Bronze,2020-01-25,False,kamya92@example.org,08395894773,False,False,True
C00156,Krishna Gala,19,Male,Agra,North,<2L,Student,4.3,Push Notification,Ethnic Wear,Bronze,2022-10-29,True,uanne@example.com,+912710433187,True,False,True
C00157,Girindra Bhat,27,Male,Vadodara,West,2-5L,Budget Shopper,4.7,In-App,Outerwear,Silver,2020-05-01,True,edugar@example.com,8350344694,True,False,False
C00158,Neha Kumar,50,Male,Delhi,North,2-5L,Family Shopper,2.4,Push Notification,Ethnic Wear,Bronze,2023-02-02,True,farasdua@example.org,3424912896,True,True,False
