employee_id,store_id,name,role,join_date,salary,performance_score,is_active
E00025,S0048,Aadhya Mann,Cashier,2023-10-06,30643,3.1,True
E00026,S0143,Jagdish Amble,Stock Associate,2019-06-17,36093,3.8,True
E00027,S0085,Qushi Gill,Warehouse Staff,2019-09-27,20235,2.5,True
E00028,S0014,Lajita Walia,Stock Associate,2023-07-03,118534,3.7,True
E00029,S0082,Xiti Pandya,Visual Merchandiser,2020-01-24,83236,2.2,True
E00030,S0107,Mekhala Basak,Security,2019-01-12,60796,2.7,True
E00031,S0085,Anirudh Sharaf,Customer Service Rep,2022-01-17,53479,2.7,True
E00032,S0136,Dhriti Sanghvi,Warehouse Staff,2018-02-06,30036,4.0,True
E00033,S0063,Omisha Mann,Store Manager,2021-08-07,64987,4.7,False
E00034,S0099,Nidhi Bail,Stock Associate,2021-03-04,18238,4.7,True
E00035,S0096,Onveer Sharma,Warehouse Staff,2023-06-17,20747,2.9,True
E00036,S0083,Gaurang Sarkar,Sales Associate,2019-01-29,36940,4.9,True
E00037,S0137,Yagnesh Sarin,Store Manager,2018-09-26,42627,4.0,True
E00038,S0109,Farhan Randhawa,Sales Associate,2020-04-22,85484,4.5,False
E00039,S0112,Harinakshi Kant,Sales Associate,2019-09-22,18113,3.4,True
E00040,S0023,Om Bose,Sales Associate,2018-08-11,38329,4.4,True
E00041,S0148,Yashvi Hari,Visual Merchandiser,2020-11-25,68429,3.2,True
E00042,S0111,Indali Divan,Customer Service Rep,2018-03-11,66052,4.0,True
E00043,S0017,Harshil Dhingra,Store Manager,2018-10-25,61884,4.8,True
E00044,S0078,Rudra Ghose,Sales Associate,2021-02-27,115306,4.8,True
E00045,S0008,Faqid Goel,Warehouse Staff,2019-10-03,84922,2.7,True
E00046,S0140,Ucchal Sen,Stock Associate,2019-08-14,54066,4.0,False
E00047,S0096,Diya Dora,Store Manager,2019-08-03,31152,2.1,True
E00048,S0101,Ekansh Singh,Sales Associate,2021-06-02,42532,4.2,False
E00049,S0089,Chavvi Maharaj,Visual Merchandiser,2022-08-18,99663,4.6,True
E00050,S0048,Indira Tripathi,Visual Merchandiser,2020-11-01,40470,2.3,True
E00051,S0146,Dayita Shenoy,Store Manager,2023-03-05,99498,3.6,True
E00052,S0018,Baljiwan Bhandari,Stock Associate,2019-02-07,40875,4.2,True
E00053,S0085,Bhavini Bose,Customer Service Rep,2019-06-10,102988,4.0,True
E00054,S0018,Yashica Rajagopalan,Visual Merchandiser,2021-07-25,78682,3.4,True
E00055,S0079,Benjamin Sengupta,Cashier,2022-02-01,56462,4.9,True
E00056,S0081,Ekanta Soni,Visual Merchandiser,2020-06-26,108349,4.2,True
E00057,S0093,David Seshadri,Cashier,2021-09-20,77908,3.4,True
E00058,S0079,Hemal Chad,Warehouse Staff,2019-03-22,38038,3.9,True
E00059,S0072,Balveer Kota,Cashier,2020-03-15,49502,4.2,True
E00060,S0020,Reva Viswanathan,Store Manager,2023-09-09,97788,2.1,True
E00061,S0104,Januja Pradhan,Visual Merchandiser,2018-05-31,87298,2.8,False
E00062,S0139,Lila Rege,Warehouse Staff,2019-09-01,62948,3.2,False
E00063,S0075,Charles Natt,Cashier,2023-03-19,80683,3.5,True
E00064,S0129,Forum Chandra,Store Manager,2020-09-05,95482,4.1,True
E00065,S0036,Bhanumati Krishnan,Warehouse Staff,2019-10-15,38480,3.7,True
E00066,S0038,Gauri Bumb,Warehouse Staff,2022-01-09,20297,2.7,True
E00067,S0017,Inaya Mukherjee,Stock Associate,2022-02-22,45673,2.1,True
E00068,S0093,Kai Chad,Security,2023-04-08,74591,4.6,True
E00069,S0083,Krisha Narasimhan,Sales Associate,2023-11-06,98042,4.5,True
E00070,S0068,Girik Sampath,Cashier,2022-03-23,100678,3.1,True
E00071,S0020,Andrew Patil,Stock Associate,2022-03-22,44215,3.5,True
E00072,S0089,Pranit Kala,Warehouse Staff,2023-05-29,94195,2.0,False
E00073,S0113,Vedika Handa,Cashier,2020-07-31,25104,3.5,True
E00074,S0039,Laksh Dubey,Cashier,2019-10-07,62477,3.8,True
E00075,S0059,Chakrika Chaudhuri,Security,2021-09-14,109405,2.3,True
E00076,S0123,Gayathri Deep,Visual Merchandiser,2019-10-23,99837,4.5,True
E00077,S0012,Mitesh Gaba,Cashier,2019-10-22,32658,3.9,True
E00078,S0147,Noah Sarma,Cashier,2018-08-18,36802,2.8,True
E00079,S0104,Nirja Patla,Store Manager,2021-03-07,26239,2.6,True
E00080,S0121,Sachi Mane,Warehouse Staff,2019-11-30,43752,4.5,True
E00081,S0150,Vivaan Walla,Cashier,2023-09-24,49671,2.5,True
E00082,S0117,Dayamai Singh,Sales Associate,2020-07-30,64572,3.2,True
E00083,S0052,Jhalak Sastry,Security,2019-09-05,94365,2.3,True
E00084,S0010,Baghyawati Raja,Sales Associate,2019-01-17,78208,4.0,False
E00085,S0139,Neel Iyengar,Store Manager,2022-11-03,83425,3.3,False
E00086,S0136,Zashil Ben,Security,2020-07-28,78192,4.4,True
E00087,S0148,Kamya Chauhan,Sales Associate,2022-10-09,32548,2.8,True
E00088,S0022,Bhavani Chacko,Stock Associate,2022-08-01,48791,2.6,True
E00089,S0002,Anjali Sengupta,Sales Associate,2023-10-30,15942,3.1,True
E00090,S0081,Rajeshri Chand,Security,2022-01-23,28970,2.5,True
E00091,S0065,Shravya Palla,Stock Associate,2022-10-01,89012,3.1,True
E00092,S0102,Oeshi Bera,Visual Merchandiser,2022-08-20,87365,4.4,True
E00093,S0095,Yadavi Prakash,Warehouse Staff,2020-11-05,55193,3.7,True
E00094,S0102,Libni Bumb,Cashier,2019-05-03,113017,2.7,True
E00095,S0042,Udarsh Bala,Sales Associate,2020-05-28,81629,3.2,True
E00096,S0141,Hardik Nayak,Store Manager,2019-10-21,66000,4.9,True
E00097,S0024,Laksh Barad,Cashier,2023-04-16,93675,3.3,True
E00098,S0057,Urmi Dewan,Customer Service Rep,2018-11-24,94826,2.1,True
E00099,S0103,Saumya Ahluwalia,Stock Associate,2018-08-24,116398,4.5,True
E00100,S0113,Anirudh Kunda,Store Manager,2020-04-06,101099,4.8,True
E00101,S0050,Mason Wable,Store Manager,2023-09-23,82608,4.1,True
E00102,S0010,Indrajit Mani,Customer Service Rep,2020-09-06,100854,2.0,True
E00103,S0071,Charvi Dara,Security,2021-12-17,102773,3.2,True
E00104,S0133,William Saini,Store Manager,2018-10-09,26818,3.6,True
E00105,S0144,Dev Choudhry,Customer Service Rep,2021-11-24,51242,2.7,False
E00106,S0117,Amol Varma,Security,2018-01-20,49223,2.5,True
E00107,S0144,Maanas Manne,Sales Associate,2023-08-23,53568,3.0,True
E00108,S0132,Aarav Pandit,Stock Associate,2020-10-21,105989,3.3,True
E00109,S0124,Omaja Grover,Visual Merchandiser,2021-10-23,116659,3.4,True
E00110,S0008,Jalsa Bir,Warehouse Staff,2019-04-22,48792,2.2,True
E00111,S0057,Madhavi Singhal,Visual Merchandiser,2021-07-17,69057,4.9,True
E00112,S0003,Lila Prakash,Stock Associate,2020-10-13,52655,2.3,True
E00113,S0088,Amol Parikh,Sales Associate,2020-01-02,77463,2.9,True
E00114,S0147,Hemani Khosla,Stock Associate,2020-01-19,112800,4.0,False
E00115,S0128,Gaurangi Deol,Visual Merchandiser,2020-08-19,111394,2.7,True
E00116,S0059,Indira Nigam,Visual Merchandiser,2020-10-19,96080,3.1,True
E00117,S0031,Ucchal Srinivas,Sales Associate,2023-07-11,95455,2.0,False
E00118,S0011,Krishna Bhatnagar,Warehouse Staff,2022-03-01,96352,2.9,False
E00119,S0148,Balhaar Memon,Stock Associate,2023-07-04,38969,5.0,False
E00120,S0072,Caleb Iyengar,Security,2020-06-28,113326,3.7,True
E00121,S0109,Diya Mukherjee,Warehouse Staff,2018-05-14,80860,3.0,False
E00122,S0045,Urvashi Kulkarni,Warehouse Staff,2019-05-09,106520,3.6,True
E00123,S0003,Rayaan Mangal,Store Manager,2020-05-13,64732,3.7,True
E00124,S0067,Champak Narula,Cashier,2020-12-12,46082,2.8,False
E00125,S0088,Jeet Pillai,Customer Service Rep,2020-01-24,80374,3.3,True
E00126,S0096,Mugdha Sarraf,Customer Service Rep,2022-06-29,51651,3.4,True
E00127,S0148,Harinakshi Grover,Visual Merchandiser,2019-02-14,109478,2.8,True
E00128,S0111,Widisha Pillai,Security,2020-03-14,34116,4.4,True
E00129,S0122,Fitan Samra,Store Manager,2019-12-25,70249,3.5,False
E00130,S0133,Qushi Gole,Customer Service Rep,2023-06-17,54326,2.8,False
E00131,S0013,Ekani Chauhan,Security,2019-02-10,105510,2.5,True
E00132,S0066,Falak Merchant,Warehouse Staff,2019-01-30,73963,4.2,True
E00133,S0093,Sanaya Sandhu,Stock Associate,2021-11-10,17599,3.2,True
E00134,S0051,Sachi Panchal,Cashier,2021-03-11,61544,3.0,True
E00135,S0115,Brijesh Pandit,Sales Associate,2022-04-10,95434,2.9,True
E00136,S0038,Anvi Bhandari,Cashier,2021-10-13,70288,3.9,True
E00137,S0019,Nidra Patla,Sales Associate,2019-10-26,60039,2.7,True
E00138,S0075,Azaan Dhar,Stock Associate,2022-06-08,50553,4.7,True
E00139,S0093,Bakhshi Date,Warehouse Staff,2022-08-23,36930,2.6,True
E00140,S0061,Warinder Peri,Stock Associate,2018-11-24,42600,2.5,True
E00141,S0017,Leela Bali,Warehouse Staff,2018-08-09,18455,4.3,True
E00142,S0022,Shivani Prabhakar,Sales Associate,2020-12-11,96015,2.5,True
E00143,S0100,Sachi Bose,Stock Associate,2020-07-28,47426,4.2,True
E00144,S0033,Jeevika Rao,Cashier,2023-11-28,37361,2.1,True
E00145,S0084,Arya Krish,Warehouse Staff,2023-03-29,85855,4.8,True
E00146,S0035,Atharv Grewal,Cashier,2023-02-14,97712,4.2,False
E00147,S0112,Zarna Ram,Stock Associate,2021-11-23,78131,3.6,True
E00148,S0114,Adweta Lad,Stock Associate,2022-02-07,69028,2.8,True
E00149,S0001,Tanish Mangal,Cashier,2021-11-09,52586,3.4,True
E00150,S0126,Ryan Das,Warehouse Staff,2021-05-12,16197,4.3,True
E00151,S0060,Ethan Seth,Store Manager,2022-03-11,39716,3.2,True
E00152,S0102,Sai Chahal,Visual Merchandiser,2019-10-31,108708,4.2,True
E00153,S0097,Idika Bhattacharyya,Visual Merchandiser,2020-12-13,25382,3.3,True
E00154,S0070,Charita Dugar,Stock Associate,2023-12-19,50235,3.2,False
E00155,S0047,Janaki Trivedi,Cashier,2021-04-01,29464,3.9,True
E00156,S0070,Jairaj Iyer,Warehouse Staff,2020-02-09,57027,2.1,True
E00157,S0137,Warjas Tak,Store Manager,2020-02-01,28405,2.8,True
E00158,S0113,Jalsa Pillay,Store Manager,2020-08-11,26822,2.5,True
E00159,S0088,Kai Chadha,Security,2021-06-30,117986,4.4,False
E00160,S0119,Dayamai Rao,Store Manager,2021-09-14,25515,4.5,False
E00161,S0015,Nirja Rout,Stock Associate,2022-05-27,24356,3.6,True
E00162,S0065,Jeremiah Nadig,Security,2018-02-21,30985,4.9,True
E00163,S0099,Shivani Shukla,Warehouse Staff,2020-10-09,111681,5.0,True
E00164,S0025,Kabir Gopal,Visual Merchandiser,2023-04-21,66003,4.0,True
E00165,S0083,Rachita Thakkar,Cashier,2018-06-22,112612,4.8,True
E00166,S0065,Jeet Vasa,Warehouse Staff,2021-05-08,41047,3.1,True
E00167,S0056,Daksha Gala,Sales Associate,2020-08-24,97956,3.3,True
E00168,S0071,Ekantika Kar,Sales Associate,2022-06-10,118434,2.7,False
E00169,S0149,Zilmil Mander,Warehouse Staff,2019-09-27,63679,4.3,True
E00170,S0128,Zashil Hegde,Sales Associate,2021-10-18,114557,3.9,True
E00171,S0040,Jeremiah Mitter,Sales Associate,2019-05-31,78942,2.7,False
E00172,S0089,Yadavi Ganguly,Warehouse Staff,2020-03-01,17798,4.1,True
E00173,S0035,Onveer Nazareth,Stock Associate,2018-06-11,78609,4.1,True
E00174,S0139,Ayush Bumb,Warehouse Staff,2020-02-17,89278,2.6,True
E00175,S0120,Alka Kade,Stock Associate,2019-10-19,24027,3.6,True
E00176,S0068,Azaan Tank,Customer Service Rep,2023-02-03,15094,4.3,True
E00177,S0048,Chasmum Subramanian,Store Manager,2022-01-31,116714,3.9,True
E00178,S0017,Nidra Mishra,Security,2020-02-17,83690,4.0,True
E00179,S0040,Elijah Bhasin,Stock Associate,2021-08-14,68713,3.9,True
E00180,S0134,Ria Sagar,Sales Associate,2018-06-29,32009,2.5,True
E00181,S0028,Ucchal Jani,Warehouse Staff,2020-02-24,27943,2.1,True
E00182,S0100,Maanas Munshi,Warehouse Staff,2023-11-24,96785,4.1,True
E00183,S0094,Hemani Rastogi,Visual Merchandiser,2018-10-18,16715,4.8,True
E00184,S0126,Kamala Varma,Sales Associate,2023-04-02,119991,3.9,True
E00185,S0107,Eiravati Khurana,Customer Service Rep,2018-08-27,95862,2.8,True
E00186,S0019,Jason Loke,Stock Associate,2018-11-16,43298,4.9,True
E00187,S0060,Yug Dhaliwal,Security,2020-02-16,40312,3.6,True
E00188,S0046,Chandresh Mannan,Security,2019-03-09,115438,3.9,True
E00189,S0118,Omya Kothari,Security,2019-03-03,36864,4.4,True
E00190,S0130,Falak Munshi,Customer Service Rep,2019-10-10,84979,5.0,True
E00191,S0091,Nathaniel Tara,Customer Service Rep,2021-08-22,63722,3.2,True
E00192,S0083,Wishi Morar,Visual Merchandiser,2020-05-26,64160,4.3,False
E00193,S0066,Arin Chana,Customer Service Rep,2023-01-28,73654,4.9,True
E00194,S0009,Yashasvi Shankar,Stock Associate,2018-03-08,82844,2.4,False
E00195,S0002,Tanveer Pandit,Stock Associate,2020-06-27,43157,4.6,True
E00196,S0071,Chandresh Manda,Cashier,2019-01-22,19946,3.4,True
E00197,S0068,Upma Mangal,Customer Service Rep,2020-10-20,45539,2.8,True
E00198,S0147,Hritik Sankar,Security,2020-06-09,111241,2.2,True
E00199,S0124,Aishani Pau,Cashier,2023-06-23,105386,4.1,True
E00200,S0025,Jasmit Bath,Stock Associate,2018-06-03,110786,4.4,True
E00201,S0015,Charan Hayer,Customer Service Rep,2021-11-26,71925,3.2,False
E00202,S0059,Bhavya Borah,Store Manager,2022-04-16,22094,2.9,True
E00203,S0139,Yamini Seshadri,Cashier,2021-08-31,80850,4.1,True
E00204,S0101,Jagat Dave,Warehouse Staff,2023-08-30,26807,2.7,True
E00205,S0101,Meera Prakash,Cashier,2019-06-26,59062,2.2,True
E00206,S0013,Jasmit Dhawan,Security,2020-12-11,26151,3.2,True
E00207,S0034,Yashodhara Ratti,Cashier,2023-05-24,88308,2.6,True
E00208,S0147,Chakradev Barad,Visual Merchandiser,2023-11-18,47275,2.7,True
E00209,S0111,Gauri Som,Customer Service Rep,2019-01-02,29749,4.0,True
E00210,S0090,Manthan Varma,Visual Merchandiser,2021-08-06,60157,3.8,True
E00211,S0079,Falak Nagar,Cashier,2021-12-03,95769,4.5,True
E00212,S0038,Maya Mistry,Warehouse Staff,2018-07-03,45603,2.6,True
E00213,S0022,Yashica Upadhyay,Sales Associate,2018-08-12,46856,4.8,False
E00214,S0074,Chandani Soman,Store Manager,2021-11-07,105937,4.4,True
E00215,S0121,Jyoti Narula,Store Manager,2021-09-21,42395,4.2,True
E00216,S0140,Omaja Morar,Stock Associate,2023-06-02,96663,4.2,True
E00217,S0005,Urvi Lanka,Security,2023-11-28,20699,2.8,True
E00218,S0052,Charan Srinivasan,Stock Associate,2018-08-06,75943,4.0,True
E00219,S0100,Lajita Divan,Stock Associate,2022-01-15,29141,2.1,False
E00220,S0099,Azad Choudhary,Visual Merchandiser,2022-04-09,81655,4.9,True
E00221,S0081,Anirudh Sastry,Warehouse Staff,2023-12-18,26537,2.6,True
E00222,S0118,Omya Doshi,Store Manager,2018-06-12,47426,4.8,True
E00223,S0126,Samar Roy,Security,2019-10-06,17408,3.0,True
E00224,S0078,David Devi,Visual Merchandiser,2023-08-16,51159,4.4,True
E00225,S0100,Ekta Sridhar,Store Manager,2021-02-21,44567,2.5,False
E00226,S0036,Dipta Ghose,Sales Associate,2022-04-15,83251,4.9,True
E00227,S0059,Hema Pandya,Security,2020-09-11,90090,2.5,False
E00228,S0085,Veda Handa,Warehouse Staff,2019-06-24,42100,4.0,True
E00229,S0052,Arya Misra,Cashier,2021-06-19,105247,4.1,True
E00230,S0035,Chameli Mani,Security,2019-08-18,101013,4.8,False
E00231,S0082,Vrinda Nadig,Sales Associate,2023-12-24,109298,2.4,True
E00232,S0038,Ikshita Mahal,Store Manager,2021-07-29,69269,4.9,True
E00233,S0071,Jairaj Raghavan,Cashier,2020-02-09,28994,2.4,True
E00234,S0069,Hemani Dhingra,Visual Merchandiser,2020-08-09,45266,4.1,True
E00235,S0123,Brijesh Mani,Cashier,2023-08-20,94260,3.4,True
E00236,S0048,Hiral Sathe,Security,2023-07-06,77108,2.4,True
E00237,S0009,Varenya Kala,Security,2018-03-03,50370,4.9,True
E00238,S0052,Anika Magar,Visual Merchandiser,2018-09-28,38209,4.8,False
E00239,S0126,Ikbal Khatri,Customer Service Rep,2023-02-18,47346,3.3,True
E00240,S0098,Chandresh Wali,Customer Service Rep,2022-06-03,95151,4.8,True
E00241,S0138,Viraj Ben,Store Manager,2023-11-03,29328,3.4,True
E00242,S0011,Odika Narayanan,Visual Merchandiser,2023-10-26,85499,3.2,True
E00243,S0143,Harish Devan,Security,2023-10-16,115291,3.9,True
E00244,S0075,Nakul Ray,Warehouse Staff,2022-06-19,54918,4.3,True
E00245,S0043,Vansha Iyengar,Security,2021-04-20,95364,4.8,True
E00246,S0037,Ekani Mangal,Warehouse Staff,2023-01-25,26854,4.2,True
E00247,S0150,Gaurav Kata,Cashier,2022-05-30,69206,3.0,True
E00248,S0117,Parth Sahni,Visual Merchandiser,2023-02-06,26820,2.8,True
E00249,S0042,Balhaar Ranganathan,Sales Associate,2019-01-09,29963,4.1,True
E00250,S0022,Quincy Mann,Security,2023-09-27,95225,4.8,True
E00251,S0098,Aditya Misra,Store Manager,2019-12-01,58934,3.7,True
E00252,S0039,Gautami Mane,Cashier,2019-08-16,38444,4.3,True
E00253,S0079,Wakeeta Desai,Stock Associate,2023-01-02,52851,3.9,True
E00254,S0034,Anjali Hans,Visual Merchandiser,2018-01-15,96600,4.3,True
E00255,S0128,Ganga Gaba,Warehouse Staff,2018-01-24,94689,4.6,True
E00256,S0122,Aarini Grewal,Warehouse Staff,2022-08-07,72917,2.2,True
E00257,S0063,Geetika Merchant,Stock Associate,2020-04-30,21411,2.6,True
E00258,S0090,Parth Ravi,Store Manager,2019-08-19,19250,4.0,True
E00259,S0077,Yutika Narang,Customer Service Rep,2018-12-26,21426,2.3,False
E00260,S0042,Nandini Chandran,Stock Associate,2019-12-28,74682,4.2,True
E00261,S0010,Logan Sood,Sales Associate,2021-05-10,57312,3.1,True
E00262,S0018,Yuvraj Ahuja,Security,2018-09-23,53382,3.4,True
E00263,S0071,Leela Keer,Customer Service Rep,2023-11-29,69232,3.6,True
E00264,S0015,Amara Narayan,Sales Associate,2023-12-07,26491,3.5,True
E00265,S0074,Advay Lal,Security,2021-07-20,49034,3.6,False
E00266,S0091,Warinder Bhatia,Cashier,2023-07-27,83118,4.2,True
E00267,S0047,Udyati Mohanty,Visual Merchandiser,2021-04-04,40369,2.0,True
E00268,S0031,Nidra Thakkar,Visual Merchandiser,2022-08-26,69269,2.1,True
E00269,S0055,Jacob Merchant,Store Manager,2020-04-04,105441,2.8,True
E00270,S0079,Timothy Kanda,Stock Associate,2023-09-07,87088,3.0,True
E00271,S0086,Vanya Dua,Customer Service Rep,2022-06-11,109948,3.7,False
E00272,S0045,Kashvi Sagar,Visual Merchandiser,2021-09-15,59294,4.8,True
E00273,S0122,Tejas Kota,Store Manager,2019-07-11,78110,2.5,True
E00274,S0138,Sanya Wable,Customer Service Rep,2023-03-10,117759,4.4,False
E00275,S0015,Faras Choudhury,Stock Associate,2021-07-16,87768,3.6,True
E00276,S0085,Yashasvi Jain,Customer Service Rep,2018-09-29,34569,2.8,True
E00277,S0097,Nitesh Narang,Cashier,2022-05-15,39560,3.8,False
E00278,S0079,Jackson Jha,Customer Service Rep,2018-05-10,50585,3.2,True
E00279,S0061,Gavin Uppal,Customer Service Rep,2023-01-26,54666,2.6,True
E00280,S0029,Christopher Setty,Customer Service Rep,2018-06-03,116946,2.6,True
E00281,S0130,Yochana Sagar,Store Manager,2023-05-31,80543,2.5,True
E00282,S0124,Dalbir Shere,Stock Associate,2021-09-02,33781,4.3,True
E00283,S0133,Anthony Randhawa,Cashier,2020-04-20,109970,2.1,True
E00284,S0134,Aarush Kamdar,Sales Associate,2018-01-17,55760,4.8,True
E00285,S0023,Chakradev Sampath,Customer Service Rep,2023-03-28,21047,2.3,True
E00286,S0080,Devansh Bhasin,Store Manager,2021-07-02,98735,4.7,True
E00287,S0050,Urmi Balay,Stock Associate,2021-02-07,84766,3.0,True
E00288,S0031,Nilima Gole,Stock Associate,2019-09-04,35643,2.8,True
E00289,S0144,Osha Prasad,Sales Associate,2020-04-26,86110,3.1,True
E00290,S0037,Saumya Purohit,Stock Associate,2020-09-29,37449,2.2,True
E00291,S0087,Faris Zacharia,Warehouse Staff,2018-07-27,32049,2.1,False
E00292,S0013,Ijaya Dani,Sales Associate,2022-04-21,22051,2.3,True
E00293,S0115,Maya Wadhwa,Customer Service Rep,2021-07-03,58559,4.5,True
E00294,S0137,Udant Aggarwal,Sales Associate,2023-03-23,89421,2.4,True
E00295,S0120,Chanchal Sheth,Sales Associate,2023-02-10,55683,4.1,True
E00296,S0120,Ladli Karpe,Warehouse Staff,2020-08-07,44333,2.4,False
E00297,S0067,Triveni Pal,Customer Service Rep,2022-05-25,39032,4.1,True
E00298,S0084,Anya Gulati,Warehouse Staff,2023-06-20,18966,2.2,True
E00299,S0123,Azad Saini,Warehouse Staff,2019-12-01,51996,4.3,True
E00300,S0033,Wridesh Jhaveri,Sales Associate,2022-07-20,108621,4.4,True
E00301,S0019,Harrison Bandi,Stock Associate,2023-12-23,75420,3.2,True
E00302,S0063,Chanakya Konda,Cashier,2023-05-30,65307,2.2,True
E00303,S0111,Neelima Sarna,Security,2021-11-02,86372,4.1,True
E00304,S0020,Teerth Bhalla,Warehouse Staff,2019-04-14,92616,3.8,True
E00305,S0025,Yahvi Mann,Warehouse Staff,2019-12-23,55374,4.9,True
E00306,S0028,Eiravati Nagi,Security,2021-09-03,79788,3.9,True
E00307,S0056,Chasmum Dhar,Cashier,2018-01-01,114231,2.4,True
E00308,S0137,Odika Mital,Stock Associate,2022-05-17,95684,3.7,True
E00309,S0082,Darsh Gill,Stock Associate,2021-06-01,71980,4.2,False
E00310,S0023,Warhi Batta,Store Manager,2023-09-22,67978,4.5,False
E00311,S0016,Lakshmi Vohra,Customer Service Rep,2018-08-06,15110,4.1,True
E00312,S0092,Omaja Rege,Sales Associate,2021-03-01,19087,2.7,True
E00313,S0101,Charita Puri,Customer Service Rep,2022-04-17,68219,3.1,True
E00314,S0045,Urvashi Khosla,Warehouse Staff,2019-07-24,39671,3.7,True
E00315,S0093,Charita Dhawan,Security,2019-09-24,52810,5.0,True
E00316,S0035,Dalbir Sachar,Store Manager,2018-10-21,99985,2.0,True
E00317,S0125,Krish Rama,Security,2019-07-11,26097,2.4,True
E00318,S0117,Aadhya Jani,Security,2020-01-07,74558,3.5,True
E00319,S0116,Farhan Sengupta,Security,2021-12-26,44588,2.6,True
E00320,S0148,George Wason,Warehouse Staff,2020-08-27,108340,3.5,True
E00321,S0140,Charan Loyal,Customer Service Rep,2018-05-18,19963,3.7,True
E00322,S0029,Balveer Bora,Warehouse Staff,2018-11-24,33623,4.2,True
E00323,S0072,Teerth Srinivas,Warehouse Staff,2023-10-19,25254,3.6,True
E00324,S0063,Gaurangi Mitter,Warehouse Staff,2018-11-16,104662,3.9,True
E00325,S0080,Siddharth Gupta,Store Manager,2021-11-08,85127,4.3,True
E00326,S0132,Varenya Kibe,Warehouse Staff,2021-09-19,70183,3.1,False
E00327,S0076,Mekhala Khatri,Stock Associate,2019-11-18,19630,4.1,True
E00328,S0078,Barkha Rai,Stock Associate,2018-09-09,97483,3.4,True
E00329,S0014,Jagrati Morar,Stock Associate,2018-04-22,52593,3.5,True
E00330,S0020,Jagvi Varghese,Stock Associate,2020-10-29,32372,3.8,True
E00331,S0066,Unnati Chaudhari,Store Manager,2019-04-02,94144,2.5,True
E00332,S0039,Ekaja Jani,Warehouse Staff,2022-02-23,37989,2.8,True
E00333,S0125,Dhriti Sachdev,Cashier,2023-12-01,19337,3.0,True
E00334,S0038,Timothy Dhingra,Cashier,2023-07-25,113665,5.0,True
E00335,S0061,Advika Sahni,Warehouse Staff,2019-11-17,42637,3.7,True
E00336,S0014,Michael Hayre,Stock Associate,2019-04-21,21884,2.5,True
E00337,S0078,Victor Raghavan,Warehouse Staff,2023-12-22,45626,3.1,True
E00338,S0122,Xalak Nazareth,Stock Associate,2019-08-18,84526,4.6,True
E00339,S0115,Vrinda Swaminathan,Security,2021-07-17,84501,4.0,True
E00340,S0137,Om Pandey,Customer Service Rep,2022-11-04,95017,4.8,False
E00341,S0086,Logan Suresh,Stock Associate,2020-12-29,27881,2.8,True
E00342,S0119,Daniel Viswanathan,Visual Merchandiser,2020-03-09,83151,3.0,True
E00343,S0047,Falan Bava,Customer Service Rep,2018-02-13,103185,2.0,True
E00344,S0106,Nitara Devan,Sales Associate,2023-11-22,28619,4.1,True
E00345,S0073,Ekansh Dora,Stock Associate,2020-03-01,19461,2.1,True
E00346,S0056,Tejas Tiwari,Sales Associate,2019-05-07,26322,4.6,True
E00347,S0145,Kashvi Bhasin,Cashier,2019-03-31,106180,2.6,True
E00348,S0020,Vinaya Babu,Warehouse Staff,2021-02-06,115841,3.3,False
